4227	281	3018	9109	2112	7823	6626	3555	4969	8171	2899	1465	3573	2085	5666	3222	1822	8967	7762	1219
9899	113	4068	6140	3765	345	2741	4451	1299	840	3663	4693	6798	2995	7510	5968	6267	4250	2802	5079
10110	192	257	1481	1762	1993	5367	2332	10044	855	1650	9160	5475	2980	7495	7247	9535	7943	120	8360
2943	463	4714	5448	3396	9465	6052	9098	804	7068	8864	5523	9428	570	1074	3424	3812	8181	5676	6292
5243	235	587	6376	4634	4003	2512	4482	4405	9813	4656	6274	5695	7912	3693	2095	6155	8633	3927	3105
4578	831	9570	1136	5589	4553	6874	4949	5602	5072	8809	3216	6729	532	3667	530	8770	7087	5352	2927
4435	717	5865	3672	4012	8804	386	8604	6721	9404	6105	3385	6935	3969	10071	1320	8698	8970	6599	5755
7962	837	7425	5345	581	1672	8969	4805	4604	9674	6435	1376	4777	6911	505	4280	3265	7594	914	8460
3260	151	2179	1107	5647	7043	4044	6617	7558	8937	9313	3366	6009	4195	2656	3913	2880	671	10076	5988
6637	365	9837	7436	5070	5354	696	596	2150	9344	1552	8058	3847	6282	3659	3965	4532	576	1574	3326
